iter	Passed	Remaining
557	3892	65864
558	3901	65887
559	3908	65891
560	3918	65932
561	3925	65929
562	3933	65937
563	3941	65942
564	3947	65920
565	3954	65911
566	3959	65881
567	3965	65854
568	3971	65825
569	3978	65816
570	3984	65794
571	3987	65729
572	3993	65704
573	3999	65684
574	4005	65657
575	4011	65627
576	4016	65597
577	4023	65584
578	4029	65557
579	4034	65526
580	4040	65508
581	4047	65499
582	4054	65486
583	4061	65491
584	4069	65492
585	4075	65474
586	4081	65451
587	4091	65489
588	4098	65487
589	4106	65497
590	4115	65517
591	4126	65571
592	4134	65586
593	4141	65587
594	4149	65585
595	4156	65590
596	4164	65587
597	4174	65626
598	4182	65647
599	4190	65657
600	4198	65658
601	4209	65718
602	4220	65777
603	4229	65787
604	4238	65816
605	4245	65817
606	4257	65879
607	4266	65900
608	4275	65922
609	4310	66347
610	4322	66423
611	4332	66464
612	4342	66501
613	4355	66576
614	4364	66595
615	4371	66598
616	4381	66630
617	4389	66632
618	4396	66635
619	4405	66652
620	4414	66679
621	4423	66688
622	4429	66677
623	4436	66660
624	4444	66669
625	4451	66665
626	4459	66660
627	4466	66654
628	4475	66671
629	4481	66659
630	4485	66596
631	4491	66571
632	4496	66544
633	4503	66525
634	4509	66510
635	4517	66505
636	4521	66464
637	4529	66460
638	4537	66473
639	4546	66487
640	4552	66475
641	4561	66496
642	4569	66492
643	4578	66513
644	4586	66524
645	4593	66520
646	4602	66534
647	4611	66553
648	4620	66579
649	4628	66576
650	4637	66598
651	4645	66602
652	4653	66616
653	4661	66613
654	4670	66634
655	4679	66657
656	4688	66670
657	4697	66690
658	4705	66697
659	4713	66699
660	4721	66713
661	4729	66708
662	4735	66695
663	4741	66672
664	4748	66658
665	4755	66642
666	4762	66634
667	4770	66643
668	4779	66662
669	4790	66707
670	4797	66697
671	4804	66695
672	4812	66699
673	4818	66675
674	4825	66662
675	4832	66651
676	4838	66631
677	4845	66625
678	4852	66608
679	4857	66582
680	4864	66568
681	4873	66581
682	4881	66595
683	4890	66607
684	4899	66625
685	4906	66622
686	4913	66610
687	4920	66596
688	4929	66611
689	4934	66583
690	4941	66567
691	4947	66547
692	4953	66522
693	4959	66508
694	4966	66489
695	4973	66483
696	4979	66457
697	4984	66430
698	4991	66414
699	4997	66392
700	5003	66378
701	5009	66356
702	5015	66332
703	5024	66349
704	5030	66319
705	5035	66294
706	5041	66272
707	5048	66257
708	5054	66231
709	5060	66216
710	5067	66201
711	5072	66175
712	5080	66177
713	5087	66165
714	5093	66147
715	5101	66151
716	5108	66139
717	5114	66117
718	5120	66096
719	5126	66078
720	5133	66064
721	5139	66046
722	5143	65994
723	5149	65973
724	5155	65948
725	5161	65935
726	5168	65921
727	5174	65899
728	5180	65881
729	5185	65854
730	5192	65838
731	5199	65829
732	5204	65802
733	5211	65785
734	5217	65762
735	5225	65773
736	5233	65774
737	5241	65779
738	5247	65764
739	5254	65748
740	5261	65749
741	5268	65738
742	5275	65732
743	5283	65736
744	5291	65738
745	5299	65736
